$ ./osjitter  -t 60
 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2200000  71112   71112        0      30615   1307556496   0.022    60       22       5938    4131    7280   71342  122061    197748 32007581    1554
   1  2200000  69271   69271        0      31437    734304556   0.012    60       22       5454    2960    6852   12580   92996    114692 14820361    2171
   2  2200000  66890   66890        0       1130    868183998   0.014    60       22       2745    2383    3327    4860   18203   1733105 22469364     328
   3  2200000  70697   70697        0      14009    552432760   0.009    60       22       2847    2490    6605   12346   69640    190076  2848408     419
   4  2200000  67158   67158        0       1837    343931516   0.006    60       22       2820    2491    3488    5195   50712    440682  2845008     311
   5  2200000  60062   60062        0          1    166677345   0.003    60       22       2725    2428    3069    3299    4287      5413    12129     251
   6  2200000  60062   60062        0          1    161701916   0.003    60       22       2653    2360    2975    3191    4100      5133    13279     244
   7  2200000  60062   60062        0          1    161126550   0.003    60       21       2644    2351    2964    3183    4066      5123    13364     241
